Track Name,Album Name,Artist Name(s),Release Date,Genres
Koi Tumsa Nahin (From Krrish),"Bollywood Best Duet Songs Sonu Nigam,Shreya Ghoshal","Sonu Nigam,Shreya Ghoshal",1/9/2025,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,bangla pop"
Aanewala Pal Janewala Hai,Gulzar Kishore,Kishore Kumar,8/18/2023,"bangla pop,ghazal,hindi pop,bollywood"
Ek Dilruba Hai,Bewafaa (Original Motion Picture Soundtrack),Udit Narayan,2/25/2005,"bollywood,hindi pop,desi"
Hum Tum Pe Marte Hain,Hum Tumpe Marte Hain,"Lata Mangeshkar,Udit Narayan",8/7/1999,"ghazal,bollywood,bhajan,hindi pop,marathi pop,desi"
Tum Kya Mile Jaane Jaan,Saatwan Aasman (Original Motion Picture Soundtrack),"Lata Mangeshkar,Udit Narayan",7/4/1992,"ghazal,bollywood,bhajan,hindi pop,marathi pop,desi"
Mere Pyar Ki Umar Ho Itnee Sanam,Waaris,"Lata Mangeshkar,Manmohan Singh",9/12/1987,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Dil Dil,Ishq Hai Tumse (Original Motion Picture Soundtrack),"Himesh Reshammiya,Udit Narayan,Alka Yagnik",9/1/2003,"bollywood,hindi pop,desi"
Ishq Hai Zindagi,Ishq Hai Tumse (Original Motion Picture Soundtrack),"Himesh Reshammiya,Udit Narayan,Alka Yagnik,Vinod Rathod",9/1/2003,"bollywood,hindi pop,desi,gujarati garba"
Na Na Karte Pyar (From Dhadkan),Musical Delight,"Udit Narayan,Alka Yagnik",7/1/2016,"bollywood,hindi pop,desi"
O Soniya,Ishq Hai Tumse (Original Motion Picture Soundtrack),"Himesh Reshammiya,Udit Narayan,Alka Yagnik",9/1/2003,"bollywood,hindi pop,desi"
Koyal Si Teri Boli,Beta,"Anuradha Paudwal,Udit Narayan",11/28/1991,"bhajan,devotional,marathi pop,ghazal,bollywood,hindi pop,desi"
Kisi Din Banoongi Main,Raja (Original Motion Picture Soundtrack),"Alka Yagnik,Udit Narayan",6/23/1995,"bollywood,hindi pop,desi"
Bahut Jatate Ho Pyar (From Aadmi Khilona Hai),Bollywood Melody Queen (Alka Yagnik),"Alka Yagnik,Mohammed Aziz",7/1/2016,"bollywood,hindi pop,desi,bhajan"
Humko Tumse Pyaar Hai,Humko Tumse Pyar Hai,"Kumar Sanu,Alka Yagnik,Anand Raj Anand",10/7/2005,"bollywood,hindi pop,desi"
