Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1mEDFnDvKoZo6zlv0CKex0,Sun Sahiba Sun,Lata Surili Phuljhadi,Lata Mangeshkar,10/26/2021,314645,41,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:30:11Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.493,0.701,5,-8.692,0,0.133,0.679,0.00000105,0.119,0.688,150.395,4
2zGiBYiOIbioKAJgV3D2TZ,Aaj Phir Tum Pe,Dayavan,"Pankaj Udhas,Anuradha Paudwal",3/7/1988,398760,52,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:30:30Z,"ghazal,qawwali,sufi,bhajan,devotional,marathi pop,bollywood,hindi pop",T-Series,0.436,0.619,10,-11.49,0,0.0528,0.739,0.0000194,0.0695,0.668,87.631,4
5Vt4qgWAcw41cnsHaDwlE2,Dafli Wale Dafli Baja,Sargam,"Lata Mangeshkar,Mohammed Rafi,Laxmikant–Pyarelal",1/8/1979,315986,43,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:31:07Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.454,0.549,11,-11.863,0,0.0683,0.813,0.0000325,0.19,0.458,115.79,4
6ChgSkEDHeHrr1Jig4lMOG,Janam Janam Ka Saath Hai - From Bheegi Palken,Audiobiography,"Mohammed Rafi,Lata Mangeshkar",1/1/2012,241426,43,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:33:03Z,"ghazal,hindi pop,bollywood,bhajan,marathi pop",Universal Music India Pvt Ltd.,0.369,0.745,9,-7.185,0,0.0587,0.475,0.0000299,0.392,0.835,154.018,4
7nfDhGnG2SfqYQmcmiUuFL,Kabhi Kabhi Mere Dil Mein (Duet),#HumForLataDidi,"Mukesh,Lata Mangeshkar",2/3/2023,298579,50,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:33:49Z,"ghazal,tamil dance,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.502,0.315,4,-10.438,1,0.0318,0.979,0.000057,0.626,0.397,110.618,4
6oZca81sE6EFdB34cPSAxu,Jai Jai Shiv Shankar,Aap Ki Kasam,"Lata Mangeshkar,Kishore Kumar,R. D. Burman",4/17/1974,337133,42,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:34:16Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.413,0.836,2,-8.656,0,0.143,0.479,0,0.349,0.707,108.319,4
4n5vaqluWQjCrKr4JLZIRh,Tere Dar Par Sanam - Male Version,Phir Teri Kahani Yaad Aayee (Original Motion Picture Soundtrack),Kumar Sanu,7/30/1993,368866,58,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:35:30Z,"bollywood,hindi pop",Tips Industries Ltd,0.51,0.44,2,-16.345,1,0.039,0.445,0.00000398,0.241,0.665,82.454,4
3BoU0KUeXBAkXaiDdVOBS1,Der Na Ho Jaye Kahin,Henna,"Lata Mangeshkar,Suresh Wadkar,Mohammad Sayeed,Farid Sabri,Satish",6/28/1991,501866,40,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:35:55Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,devotional,qawwali",Saregama,0.296,0.916,7,-7.261,0,0.138,0.691,0.0000188,0.214,0.541,164.143,3
4v4wIJBIsNZedLRyFhpuBZ,Sawan Ka Mahina,Milan,"Lata Mangeshkar,Mukesh,Laxmikant–Pyarelal",1/1/1967,328800,42,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:41:17Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,tamil dance",Saregama,0.355,0.278,2,-13.566,1,0.0455,0.96,0.138,0.239,0.722,70.791,4
3aKIKkw9ZhN5BDsiFZHi3G,Chand Jaise Mukhde Pe,Sawan Ko Aane Do,K. J. Yesudas,12/31/1979,247373,39,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:41:36Z,"malayalam pop,devotional,mollywood,tamil pop",Saregama,0.464,0.391,6,-10.345,1,0.0376,0.884,0,0.118,0.527,89.043,4
